日期,UID,获取积分数
2022/4/29,,12.04
2022/4/29,,1268.124
2022/4/29,,1.96
2022/4/29,,442.812
2022/4/29,,10.08
2022/4/29,,488.919
2022/4/29,,986.512
2022/4/29,,50.8
2022/4/29,,2537.999
2022/4/29,,5527.48
2022/4/29,,70
2022/4/29,,187.889
2022/4/29,,1796.4
2022/4/29,,2085.883
2022/4/29,,162.68
2022/4/29,,577.9
2022/4/29,,294.072
2022/4/29,,5.88
2022/4/29,,4.2
2022/4/29,,1439.72
2022/4/29,,483.32
2022/4/29,,600
2022/4/29,,268.24
2022/4/29,,63
2022/4/29,,84.56
2022/4/29,,15.12
2022/4/29,,457.96
2022/4/29,,1864.326
2022/4/29,,249.52
2022/4/29,,5.88
2022/4/29,,1793.52
2022/4/29,,12571.076
2022/4/29,,1.96
2022/4/29,,1546.212
2022/4/29,,31.92
2022/4/29,,3476.92
2022/4/29,,7.84
2022/4/29,,383.4
2022/4/29,,47.88
2022/4/29,,180.32
2022/4/29,,793.836
2022/4/29,,7
2022/4/29,,3128.12
2022/4/29,,3.36
2022/4/29,,53.76
2022/4/29,,10967.434
2022/4/29,,27.72
2022/4/29,,13464.524
2022/4/29,,28
2022/4/29,,397.572
2022/4/29,,17859.645
2022/4/29,,431.48
2022/4/29,,9.8
2022/4/29,,4532.825
2022/4/29,,303.26
2022/4/29,,89.67
2022/4/29,,606.24
2022/4/29,,18.48
2022/4/29,,4080.632
2022/4/29,,3.92
2022/4/29,,406.96
2022/4/29,,678.079
2022/4/29,,1218.966
2022/4/29,,47.04
2022/4/29,,294.004
2022/4/29,,606.36
2022/4/29,,5439.465
2022/4/29,,107.8
2022/4/29,,1.96
2022/4/29,,211.008
2022/4/29,,1514.96
2022/4/29,,114.856
2022/4/29,,64.96
2022/4/29,,190
2022/4/29,,65.618
2022/4/29,,101.92
2022/4/29,,514.96
2022/4/29,,3062.08
2022/4/29,,3035.174
2022/4/29,,164.64
2022/4/29,,4283.872
2022/4/29,,2832.28
2022/4/29,,2574.391
2022/4/29,,7.98
2022/4/29,,771.2
2022/4/29,,5204.374
2022/4/29,,89.6
2022/4/29,,4105.748
2022/4/29,,102.48
2022/4/29,,1.96
2022/4/29,,1014.518
2022/4/29,,1020.719
2022/4/29,,1813.376
2022/4/29,,41.44
2022/4/29,,1946.224
2022/4/29,,65.8
2022/4/29,,124.88
2022/4/29,,23.8
2022/4/29,,23.506
2022/4/29,,3963.1
2022/4/29,,783.313
2022/4/29,,334.44
2022/4/29,,150.738
2022/4/29,,1661.656
2022/4/29,,5141.48
2022/4/29,,106.12
2022/4/29,,4.2
2022/4/29,,159.159
2022/4/29,,400.07
2022/4/29,,5118.875
2022/4/29,,19.6
2022/4/29,,2909.64
2022/4/29,,2272.67
2022/4/29,,1.68
2022/4/29,,6846.936
2022/4/29,,71.68
2022/4/29,,5.88
2022/4/29,,2107.588
2022/4/29,,3580.432
2022/4/29,,190.4
2022/4/29,,244.202
2022/4/29,,1820.72
2022/4/29,,18669.27
2022/4/29,,3489.239
2022/4/29,,134.95
2022/4/29,,507.92
2022/4/29,,70.56
2022/4/29,,3.276
2022/4/29,,47.04
2022/4/29,,1451.12
2022/4/29,,9.8
2022/4/29,,190.4
2022/4/29,,1.68
2022/4/29,,2348.245
2022/4/29,,1822.44
2022/4/29,,1184.752
2022/4/29,,2214.88
2022/4/29,,6890.6
2022/4/29,,782.72
2022/4/29,,28.84
